queue,type,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
GB Business Contacts,internal,12.6,12.9,12.8,12.7,,,,,,,,12.6
GB Business Review,internal,13.9,19.2,19.2,19.2,,,,,,,,13.9
GB CDD BRC and Appeals,internal,21.6,22.4,21.8,21.2,,,,,,,,21.6
GB Enhanced Review,internal,30.3,48.2,48.8,49.2,,,,,,,,30.3
GB Offshore General,internal,40.9,54.8,54.2,55,,,,,,,,40.9
GB Business Contacts,external,12.6,12.9,12.8,12.7,,,,,,,,12.6
GB Business Review,external,13.9,16.9,16.8,16.8,,,,,,,,13.9
GB CDD BRC and Appeals,external,,,,,,,,,,,,
GB Enhanced Review,external,25.8,40.5,40.8,40.9,,,,,,,,25.8
GB Offshore General,external,,,,,,,,,,,,
